word,definition,sensation,facial expression,might be triggered by,is informing you
Despair,"A profound loss of hope that feels total, with no visible path forward.","crushing heaviness, profound emptiness, total exhaustion","downcast eyes, drawn face, tears or flat affect",loss of hope after sustained hardship or grief,that too much has occurred and that you no longer feel hopeful
Guilty,A sense of responsibility and remorse for having done something harmful or wrong.,"sinking stomach, tightness in chest, inner heat","averted gaze, furrowed brows, downturned mouth",violating your own moral code or harming others,that you have done something you deem as wrong
Depressed,"A persistent, heavy sadness that drains motivation, pleasure, and sense of self.","profound heaviness, emptiness, low motivation throughout","flat affect, downcast eyes, slow or absent expression","loss, prolonged hopelessness, or chemical imbalance","that you feel heavy, and you cannot continue"
Hurt,"Emotional pain caused by another's words, actions, indifference, or betrayal.","aching in chest, stinging sensation, teary eyes","wounded eyes, trembling lip, suppressed tears",words or actions that wound one's feelings,that you feel that you have been violated or injured
Scared,"An immediate, acute fear in response to a specific perceived threat or danger.","cold flush, rapid heartbeat, shallow breathing","wide eyes, raised brows, slightly open mouth","perception of danger, harm, or threatening situation",that you feel afraid and need to get away or hide
Anxious,"Persistent, uneasy worry about uncertain future events or possible negative outcomes.","tight chest, restlessness, racing thoughts, sweating","tense brow, pursed lips, darting eyes","uncertainty, perceived threat, or upcoming stressor","that you feel uneasy, and something might be threatening you"
Insecure,"A lack of confidence rooted in fear of judgment, rejection, or not being enough.","inner shakiness, self-consciousness, tight stomach","averted gaze, hunched posture, forced or nervous smile",comparison to others or past criticism and rejection,that you aren’t enough in the eyes of the people around you
Weak,Feeling incapable or insufficiently equipped to handle a challenge or difficult situation.,"low energy, physical heaviness, diminished confidence","sunken expression, downcast eyes, reduced animation","illness, defeat, or feeling overwhelmed by others",that you feel unable to deal with an imminent event
Rejected,"A painful sense of being unwanted, excluded, or not valued by others.","sharp sting in chest, deflation, cold withdrawal","wounded eyes, downturned mouth, averted gaze","exclusion, abandonment, or refusal by others","that you feel that you are not able to fit in, perhaps"
Threatened,"Feeling that your safety, wellbeing, or sense of self is under direct attack.","hypervigilance, muscle tension, adrenaline surge","narrowed alert eyes, stiff jaw, tense posture","perceived danger to safety, status, or identity","that you feel like your sanctity is about to be violated, and that you may need to defend yourself"
Aroused,A heightened state of excitement or interest with an energising physical or mental quality.,"warmth, heightened sensitivity, elevated heart rate","softened eyes, flushed cheeks, slightly parted lips","physical attraction, intimacy, or sensory stimulation",that you feel comfortable and perhaps able to engage with someone or something
Cheeky,"A playful, slightly irreverent spirit that enjoys teasing or lighthearted mischief.","light, playful energy, suppressed laughter rising","smirk, raised brow, glinting eyes",opportunity for light mischief or playful teasing,that you feel comfortable and able to tease and play with someone
Free,"A sense of liberation and spaciousness, unburdened by constraint, worry, or obligation.","expansive lightness, openness, uninhibited energy","relaxed broad smile, open expression, bright eyes","release from constraints, obligations, or pressure","that you feel liberated, able to be yourself"
Joyful,"A bright, bubbling happiness that radiates outward and makes the world feel vivid.","warmth, effervescence, uplifted energy throughout body","wide genuine smile, bright eyes, raised cheeks","celebration, connection, or peak pleasurable experience","that you’re safe, secure, and feeling good"
Curious,"A lively, open desire to know, explore, and understand more about the world.","alertness, slight forward lean, mental engagement","raised brows, slightly tilted head, intent eyes","encountering something novel, puzzling, or unknown","that you’re curious about something, and want to be engaged."
Inquisitive,"An active, probing interest that delights in asking questions and digging deeper.","mental engagement, focused attention, mild eagerness","intent gaze, raised brows, slightly open mouth",desire to understand or investigate something deeper,that you want to find out more about something or someone
Successful,A satisfying sense of having achieved a meaningful goal through effort and skill.,"warmth, elevation, pride-tinged energy and lightness","broad smile, upright posture, bright animated expression",achieving a meaningful goal or being recognised,that you're feeling a sense of accomplishment
Confident,"A steady, grounded trust in your own abilities, judgment, and worth.","steadiness, upright posture, calm inner certainty","relaxed direct gaze, slight smile, upright stance","competence, preparation, or past success",that you think you might be able to complete a task and excel
Respected,"Feeling that others genuinely recognise and honour your worth, ideas, or contributions.","warmth, sense of worth, emotional steadiness","calm, dignified expression, gentle open smile","being acknowledged, honoured, or listened to","that you feel acknowledged, listened to"
Valued,A warm sense that what you offer matters and is appreciated by others.,"warmth in chest, sense of belonging and worth","soft smile, relaxed eyes, open expression",others recognising your contribution or presence,that you feel like others see you for how you are as a person
Courageous,"A resolve to act boldly and rightly, even in the face of fear or uncertainty.","determined energy, slight tension, forward momentum","set jaw, steady direct gaze, upright posture","facing danger, fear, or difficult challenge",that you feel able to get over a certain hurdle
Creative,"A lively, generative energy that delights in imagining and making something new.","energised focus, sense of flow, imaginative restlessness","absorbed, slightly animated, inward-looking expression",open-ended problems or imaginative inspiration,that you are able to be make and express yourself
Loving,"A warm, open-hearted care for others that asks for nothing in return.","warmth, softness in chest, desire to be close","soft eyes, gentle smile, open relaxed expression","deep connection, affection, or care for another",that you can show affection to someone you value
Thankful,"A heartfelt appreciation for something good received, whether given by others or by chance.","warmth, lightness, sense of fullness in chest","warm genuine smile, soft eyes, open expression","receiving kindness, help, or unexpected generosity",that you can show gratitude to someone or something you value
Sensitive,A finely tuned awareness of your own feelings and the emotional states of others.,"heightened emotional receptivity, slight vulnerability","soft, slightly pained or tender expression","emotional stimuli, criticism, or beauty",that you can feel how others feel at the moment
Intimate,A closeness and warmth born from genuine openness and mutual vulnerability with another.,"warmth, closeness, soft vulnerability, gentle openness","soft eyes, gentle smile, close physical proximity",deep mutual trust and emotional closeness,"that you want to get closer, or that you are close to someone or something"
Hopeful,"A gentle, forward-looking expectation that things can and will improve.","lightness, gentle warmth, forward-looking energy","soft smile, open upward gaze, relaxed expression",possibility of positive change or new beginnings,that you think the future has a lot of possibility
Inspired,A surge of enthusiasm and creative energy sparked by something beautiful or meaningful.,"uplift, energised clarity, surge of motivation","bright wide eyes, open expression, animated face","witnessing greatness, beauty, or a compelling idea",that you feel like you are able to craft the possibilities you see in the future
Shocked,"A sudden, jolting reaction to something deeply unexpected, unwanted, or hard to believe.","sudden jolt, temporary freeze, disbelief throughout body","wide eyes, open mouth, sudden pallor or flush",unexpected news or events defying expectation,that something unexpected has occurred
Dismayed,A sinking feeling of alarm and disappointment at something going badly wrong.,"sinking feeling, deflation, inner dread or distress","dropped jaw, wide eyes, crumpled expression",discovering something has gone deeply wrong,that you feel that an unexpected event has negative connotations
Disillusioned,A deflated feeling when something believed in is revealed as false or disappointing.,"flatness, inner coldness, loss of enthusiasm","flat affect, downturned mouth, distant gaze",discovering a belief or person was not what seemed,that you feel that you need to reconfigure what you think of someone or something after hearing something unexpected
Perplexed,"A puzzled, unsettled state of not being able to make sense of something.","mental fog, slight tension, sense of being stuck","furrowed brows, tilted head, pursed lips",contradictory or incomprehensible information,that something unexpected has occurred and you need to understand what it is. 
Astonished,"A sudden, overwhelming sense of wonder at something extraordinary or wholly unexpected.","sudden electric alertness, brief suspension of thought","wide eyes, open mouth, raised brows",something utterly remarkable or hard to believe,that you feel that you cannot understand perhaps what occurred
Awe,"A reverential wonder in the face of something vast, powerful, or deeply beautiful.","expansive stillness, tingling, sense of smallness","wide eyes, slightly open mouth, reverential expression","vastness, grandeur, or transcendent experience",that you feel that there’s a scale to what you’ve just experienced
Eager,An energetic readiness and enthusiasm to begin or engage with something anticipated.,"forward-leaning energy, anticipation, restlessness","bright eyes, open expression, slight forward lean","imminent opportunity, challenge, or desired activity",that you feel like you can take on a challenge and that you want to do so
Energetic,"A vibrant feeling of physical and mental vitality, ready to act and engage.","physical vitality, lightness, desire for movement","animated expression, bright eyes, quick movements","rest, excitement, physical exercise, or motivation",that you feel able to act on something and take on the day
Betrayed,"A sharp, painful hurt caused by someone trusted acting against your wellbeing or loyalty.","sharp pain in chest, cold shock, inner collapse","stunned hurt expression, wide wounded eyes",disloyalty or deception from a trusted person,that you may need to get away from someone you trusted
Resentful,A simmering bitterness toward someone felt to have treated you unfairly or badly.,"cold simmering tension, inner hardness, low burn","tight jaw, narrowed eyes, closed-off expression",perceived unfair treatment left unresolved,that you feel an injustice that cannot be addressed or is continuing
Disrespected,"Feeling that your worth or dignity was deliberately ignored, dismissed, or undermined.","heat, inner contraction, bruised dignity","tight expression, narrowed eyes, stiffened posture","being dismissed, insulted, or treated as inferior",that you feel that you’ve suffered an injustice that should not have happened to you
Ridiculed,A stinging hurt from being mocked or laughed at in a demeaning way.,"burning shame, urge to shrink, hot flush","reddened face, averted gaze, pained expression",being mocked or laughed at by others,that you've been insulted
Indignant,"A righteous, heated anger at something perceived as unjust or morally wrong.","hot flush of outrage, tight chest, righteous energy","raised chin, flared nostrils, stern direct gaze",perceived injustice directed at self or others,"that you need to stand up for what’s right, for an injustice someone else has felt"
Violated,"A profound sense that your boundaries, rights, or dignity were forcibly transgressed.","deep revulsion, sense of contamination, inner collapse","pained expression, averted gaze, closed posture",transgression of personal boundaries or dignity,that you feel that a boundary has been crossed
Furious,"An intense, all-consuming rage that feels overwhelming and difficult to control.","intense heat, surging adrenaline, shaking or trembling","blazing eyes, clenched jaw, flushed red face","extreme injustice, betrayal, or serious violation","that a boundary has been crossed, and that you need to defend yourself"
Jealous,"A sharp, uncomfortable mix of envy and fear of losing something or someone important.","tight hollow ache, burning insecurity, restlessness","narrowed eyes, tight expression, watchful gaze",a perceived threat to valued relationship or desired possession,that you need to defend yourself from someone or something that will take a loved one away from you
Provoked,A reactive anger stirred by someone's deliberate or perceived attempt to antagonise you.,"rising heat, muscle tension, agitation","sharp eyes, tightened jaw, defensive posture",deliberate antagonism or persistent irritation,that you feel like someone or something is testing you
Hostile,"A cold, combative readiness to oppose or attack, born from deep mistrust or anger.","cold hardness, tension, readiness for confrontation","cold stare, tight jaw, closed unfriendly expression","perceived enemies, threats, or deep-seated anger",that you feel unable to reconcile with someone or something
Infuriated,"An extreme frustration that has tipped into burning, hard-to-contain anger.","explosive heat, shaking, loss of emotional control","reddened face, bulging eyes, clenched expression","extreme provocation, repeated injustice, betrayal",that you feel extremely angry at someone or something
Annoyed,"A mild, nagging irritation at something persistent, inconsiderate, or inconvenient.","mild irritation, slight tension, low-grade restlessness","slight frown, eye roll tendency, tight lips",minor repeated irritants or inconsiderate behaviour,that you feel mildly angry at someone or something
Withdrawn,"A retreat inward, pulling back from contact or connection with the world around you.","numbness, pulling inward, desire for isolation","flat affect, averted gaze, minimal expression","emotional pain, overstimulation, or need for safety",that you feel unable to deal with your emotions or with everything around you
Numb,"An absence of feeling, as though emotions have been muted or switched off entirely.","emotional blankness, detachment, muted feeling","blank, expressionless face, vacant eyes","trauma, grief, or prolonged emotional overload",that you can’t deal with the emotions you might be feeling at this moment
Overwhelmed,"A sense of being buried under more than you can manage, with no clear way out.","weight crushing in on all sides, mental flooding","wide distressed eyes, furrowed brows, helpless expression",too many simultaneous demands or acute crisis,that everything is too much and that it may be good to get away
Out of control,A panicked feeling that events or your own reactions are spiralling beyond your grasp.,"chaotic inner turbulence, racing thoughts, panic","frantic eyes, loss of composed expression, tension",rapidly escalating situation beyond one's management,that you feel unable to get a hold of yourself
Sleepy,"A heavy, drifting drowsiness that makes concentration and engagement difficult to sustain.","heavy eyelids, slowed thinking, physical lethargy","drooping eyelids, yawning, slack jaw","insufficient sleep, warmth, or low stimulation",that you need rest
Unfocused,"A scattered, foggy state in which attention keeps slipping away from the task at hand.","mental drift, scattered attention, low engagement","glazed eyes, slack expression, frequent distraction","fatigue, boredom, or mental overload",that you need rest
Apathetic,"A flat, unresponsive state in which nothing seems worth caring about or engaging with.","flatness, absence of motivation, emotional inertia","flat affect, minimal expression, disengaged gaze","burnout, depression, or chronic disconnection",that you do not have the energy or wherewithal to care about what’s in front of you
Indifferent,"A cool detachment that feels neither positive nor negative, simply unmoved by things around you.","neutral, detached calm, absence of strong feeling","neutral expression, relaxed but disengaged eyes",lack of personal stake in a situation or outcome,"that you do not care about what’s in front of you, or cannot care about it"
Pressured,"A tense, squeezed feeling from external demands pushing hard against your time or capacity.","tightness in chest and head, constrained feeling","furrowed brows, tense jaw, strained expression","external demands, expectations, or time constraints",that you feel like expectations are crushing you
Rushed,"The uncomfortable urgency of too much to do and too little time, always behind.","quickened pulse, scattered energy, physical urgency","tense, hurried expression, rapid eye movement",insufficient time to complete what is required,"that you need more time, perhaps, and that you need to focus"
Sceptical,"A cautious, questioning stance that withholds belief until evidence is sufficient and clear.","mental resistance, slight tension, guarded alertness","raised single brow, slight smirk, questioning eyes",implausible claims or history of being misled,that you feel that you need to investigate and understand something or someone
Dismissive,A tendency to quickly discard or minimise something without giving it fair consideration.,"mild contempt, disengagement, inner detachment","slight eye roll, turned-away head, flat expression",something deemed unworthy of serious attention,that you do not care about what's in front of you or do not have the resources to do so right now
Judgmental,"A harsh, quick tendency to evaluate others negatively based on your own standards.","internal superiority, sharp evaluative attention","raised chin, narrowed critical eyes, pursed lips",witnessing behaviour that conflicts with your standards,that the subject at hand does not meet the standards you’ve set
Embarrassed,An uncomfortable self-consciousness arising from a perceived social blunder or exposure.,"hot flush, desire to disappear, self-consciousness","reddened cheeks, averted gaze, nervous smile",social blunder or unwanted attention on yourself,that you’ve been unable to meet someone’s standards
Appalled,A strong sense of shock and moral outrage at something deeply wrong or offensive.,"visceral shock, moral recoil, inner disgust and outrage","wide eyes, open mouth, expression of horror",witnessing deeply offensive or shocking behaviour,that someone or something is deeply unable to meet your moral standard
Revolted,An intense physical or emotional disgust that makes something feel utterly repellent.,"strong nausea, physical recoil, urge to flee","curled lip, scrunched face, averted gaze",extreme moral or sensory offence,that you feel offended by someone or something who’s acted in a way that’s unable to meet your moral standard
Nauseated,"A queasy, stomach-turning reaction to something physically or morally unpleasant.","queasy stomach, salivation, urge to vomit","pale, strained, pained expression with closed mouth","unpleasant smells, sights, disgust, or illness",that you feel grossed out by someone or something
Detestable,A feeling that something is so wrong or repugnant that it inspires strong contempt.,"strong internal revulsion, coldness toward the subject","cold stare, curl of lip, turned-away posture",someone or something perceived as deeply reprehensible,that you feel grossed out by the actions of someone or something
Horrified,"An intense, visceral shock and revulsion at something shocking or morally unacceptable.","icy shock, paralysis, visceral dread throughout body","wide eyes, open mouth, pallor, frozen expression","witnessing atrocity, tragedy, or shocking harm",that you feel unable to reconcile the tragedy or harm you’ve seen with how society should work around you
Hesitant,"A cautious reluctance born from doubt, discomfort, or uncertainty about proceeding.","internal pulling in two directions, slight tension","uncertain expression, slight frown, averted or shifting gaze","uncertainty, risk, or conflicting desires or values",that you feel uneasy
Isolated,"A stark sense of being cut off, with no one who truly understands or connects with you.","cold emptiness, disconnection, sense of being alone","withdrawn expression, downcast gaze, closed posture",physical or emotional separation from others,that you feel lonely and unable to connect 
Abandoned,"A raw, painful feeling of having been left alone by someone who mattered.","deep hollowness, acute loneliness, cold shock","desolate expression, wide wounded eyes, tears",being left by someone relied upon for support,that you feel that the people around you have not connected with you
Victimised,A distressing sense that you have been unfairly harmed and had no power to prevent it.,"helplessness, pain, sense of being wronged and powerless","pained, wounded expression, downcast or teary eyes",being harmed or exploited without recourse,"that you have had a major injustice visited upon you, and that you cannot heal from it"
Fragile,"A feeling of being thin-skinned and easily hurt, as though your defences are worn away.","delicate vulnerability, emotional rawness, slight trembling","soft, pained expression, eyes on the verge of tears",being emotionally depleted or in a tender state,that you feel delicate and unable to deal with more challenges
Grief,"A deep, aching sorrow in response to significant loss, felt in waves over time.","deep aching heaviness, waves of sorrow, exhaustion","tears, crumpled expression, downcast or closed eyes",loss of someone or something deeply meaningful,that you are facing the immense loss of someone or something
Powerless,A heavy resignation that you cannot change or influence what is happening to you.,"deflation, heaviness, absence of agency or energy","sunken expression, downcast eyes, slumped posture",situations beyond one's ability to influence,that you cannot do anything to influence or change the situation you are in
Ashamed,"A painful, self-directed feeling that you are fundamentally flawed or have fallen short.","burning inner heat, urge to hide, profound self-consciousness","bowed head, averted gaze, reddened or pained face",acts that violate core values or public exposure,that you feel unable to meet the standards of society at large
Remorseful,"A sincere, heavy regret for specific harm caused, with a wish it could be undone.","heavy sinking feeling, inner pain, desire to undo actions","downturned mouth, averted gaze, pained expression",causing harm and wishing you had acted differently,that you feel that you've hurt and you do not want to hurt again
Empty,"A hollow, echoing absence where feeling and meaning once were.","hollow void in chest, absence of feeling, blankness","flat affect, vacant eyes, expressionless face","loss, disconnection, or deep emotional depletion",that you feel like all the emotions in you are gone
Inferior,"A chronic, deflating sense of being less capable, worthy, or significant than others.","shrinking, self-consciousness, diminished sense of worth","averted gaze, hunched posture, downturned expression",comparison to others or repeated criticism,that you feel subpar to the people around you
Helpless,A paralysing sense that you lack the ability to protect yourself or change your situation.,"heavy paralysis, absence of agency, inner collapse","wide distressed eyes, open mouth, slumped posture",circumstances completely beyond one's control,that you feel unable to act in your situation
Frightened,"An acute, body-level fear response to something that feels immediately threatening.","cold flush, rapid heartbeat, trembling, breath held","wide eyes, raised brows, tense open mouth",imminent or perceived threat to safety,that you need to get away 
Worried,"A persistent, intrusive concern about something that might go wrong.","churning stomach, tight chest, restless mental scanning","furrowed brows, pursed lips, distracted gaze",uncertainty about a future event or outcome,that you care about someone or something and wish that no harm be visited on it
Inadequate,A painful feeling of falling short of what is needed or expected of you.,"shrinking self-doubt, hollow confidence, inner tension","averted gaze, hesitant expression, tense posture",feeling unequal to a task or others' expectations,that you feel unable to fulfil a task at hand
Worthless,A crushing belief that you have no value or positive qualities to offer.,"deep hollow emptiness, crushing sense of no value","flat or pained expression, downcast eyes, slumped","rejection, prolonged criticism, or failure",that you feel that you are unable to do anything or be of value
Insignificant,A sense of being so small or unimportant that your existence barely registers.,"smallness, invisibility, absence of weight in the world","withdrawn, subdued expression, minimal eye contact","being overlooked, ignored, or undervalued",that you feel small and unable to effect change with your situation
Excluded,The painful experience of being deliberately left out or shut out of a group.,"cold sting of rejection, hollow disconnection","sad eyes, downturned mouth, withdrawn posture","being left out of a group, event, or conversation",that you feel left out by the people around you
Persecuted,"A feeling of being unfairly and repeatedly targeted, judged, or punished by others.","hypervigilance, resentment, sense of being targeted","guarded, watchful expression, tense jaw",repeated unjust treatment or feeling singled out,that you feel singled out and repeatedly subject to injustice by the people around you
Nervous,"An edgy, anticipatory tension in the face of something uncertain or potentially harmful.","fluttering stomach, restlessness, trembling, dry mouth","tense smile, darting eyes, fidgeting behaviour","upcoming challenge, performance, or social situation",that you feel tense about what’s coming next
Exposed,"A vulnerable, uncovered feeling as though your weaknesses are visible to others.","rawness, vulnerability, self-consciousness, urge to hide","averted gaze, flushed cheeks, guarded posture",private aspects of self being revealed to others,that you feel like other people shouldn’t be able to see you like this
